"i"	"k"	"gi"	"gj"	"mi"	"mj"	"ci"	"cj"	"si"	"sj"
"7275"	"446"	"2.984"	"2.09"	"57.1"	"54"	"135531.5"	"139038"	"Mi"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Kopavogur"
"10266"	"411"	"2.607"	"2.476"	"81.1"	"59"	"139711"	"158916"	"Br"	"LaugarneshverfiVogar Vesturbaer Hlidar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"10652"	"455"	"3.186"	"2.07"	"63.2"	"56"	"128245"	"204086"	"Ar"	"Breidholt Arbaer Fossvogur Gerdin Gardabaer Kopavogur"
"15798"	"402"	"3.487"	"3.444"	"54.5"	"52"	"140081.5"	"199232"	"Gv"	"Grafarholt Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"16805"	"435"	"4.157"	"3.131"	"96.6"	"88"	"214474"	"219968"	"Ko"	"Gardabaer Breidholt Fossvogur Kopavogur"
"17149"	"431"	"3.29"	"3.249"	"74.4"	"72"	"160543.5"	"172267"	"Br"	"Grafarvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"19187"	"436"	"3.775"	"2.335"	"85.6"	"78"	"151775"	"152942"	"Gh"	"LaugarneshverfiVogar Vesturbaer Hlidar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"19258"	"394"	"2.82"	"2.333"	"83.5"	"82"	"127062"	"173709"	"LV"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"19360"	"401"	"3.402"	"2.801"	"69.4"	"59"	"125437"	"132932"	"Ge"	"Gerdin Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"225"	"515"	"2.469"	"2.431"	"92.5"	"90"	"133900"	"181468"	"Hl"	"LaugarneshverfiVogar Vesturbaer Hlidar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"683"	"526"	"4.246"	"2.878"	"77.5"	"65"	"152509.5"	"173235"	"Ge"	"Grafarvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"1036"	"539"	"2.669"	"2.41"	"99"	"96"	"141154"	"166723"	"Mo"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"1401"	"509"	"3.074"	"2.981"	"120"	"116"	"233668.5"	"236303"	"Fo"	"Fossvogur Haaleiti Gerdin"
"1766"	"552"	"2.508"	"2.136"	"83.5"	"74"	"124657"	"125559"	"LV"	"Grafarholt Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
